"カテゴリコード:CATEGORY_CD","カテゴリ名:CATEGORY_NAME","親カテゴリコード:CATEGORY_PARENT","表示順:DISP_ORDER","登録区分:REGIST_KBN","検索結果表示フラグ:SEARCH_DISP_FLG","タイトルタグ表示名:TITLE_TAG_NAME","メタタグキーワード:META_TAG_KEYWORD","メタタグディスクリプション:META_TAG_DESCRIPTION","カテゴリ説明文:CATEGORY_INFO","カテゴリ画像:CATEGORY_IMAGE","絞り込みカテゴリフラグ:NARROW_DOWN_CATEGORY_FLG","公開会員ランク:MEMBER_RANK","会員ランク別設定リスト:MEMBER_RANK_CONFIG_LIST"
"MADISON","MADISON　NEWYORK(マディソンニューヨーク)","BRAND",8,,,,,,"<div>    <p>マディソンニューヨークは、1987年にニューヨークで誕生して以来、今日に至る30年以上の実績を通じ、現在ではファッションウォッチの主要ブランドのひとつにまで成長を遂げました。2019年にはブランドコレクションを一新し、よりコンテンポラリーなスタイルへと進化しています。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_madison.jpg"" width="""" alt=""MADISON　NEWYORK(マディソンニューヨーク)"" /></li>        <li><a href=""https://madison-newyork.com/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""https://aladdinec.jp/client_info/MISUZU/view/userweb/images/brand/main_madison.jpg"" width=""100%"" alt=""MADISON　NEWYORK(マディソンニューヨーク)"" /></div>","brand05.png",,,
"ESPRIT","ESPRIT(エスプリ)","BRAND",9,,,,,,"<div>    <p>エスプリは1968年にサンフランシスコにて創業され、全世界で展開されるトータルファッションブランドです。ライトなカジュアルスタイルにマッチするコレクションが魅力です。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_esprit.jpg"" width="""" alt=""esprit(エスプリ)"" /></li>        <li><a href=""https://hww.misuzu.com/watch/esprit/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""https://aladdinec.jp/client_info/MISUZU/view/userweb/images/brand/main_esprit.jpg"" width=""100%"" alt=""esprit(エスプリ)"" /></div>","brand07.png",,,
"HYSEK","HYSEK(ハイゼック)","BRAND",10,,,,,,"<div>    <p>HYSEK（ハイゼック）は、1977年にスイスのモルジュ、ベルリンで生まれ育ったヨルグ・イゼックによって設立されたブランドです。ヨルグ・イゼックは、カルティエやティファニーといった名門ブランドからデザインの依頼を受け、彼のデザインの特徴である壮麗な描写は瞬く間に絶賛を浴びました。<br>人間工学にもとづいたヴァイタリティ溢れるデザインは、多くの時計関係者に注目され、時計ブランドとして急成長を遂げました。バウハウス流のデザインと、グラスヒュッテの質実な伝統的時計製法を内包しつつ、スイス製時計の真骨頂であるムーブメントへの工芸美を見事に融合させたプロダクツとして多くの時計関係者に注目され、2006年、ヨルグ・イゼックは同ブランドの操業を後進に譲り、社名はハイゼックと改名され現在に至ります。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_hysek.jpg"" width="""" alt=""HYSEK(ハイゼック)"" /></li>        <li><a href=""https://hww.misuzu.com/watch/hysek/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_hysek.jpg"" width=""100%"" alt=""HYSEK(ハイゼック)"" /></div>","img_logo_hysek.png",,,
"JAERMANN","JAERMANN ＆ STUBI（ヤーマン＆ストゥービ）","BRAND",11,,,,,,"<div>    <p>ヤーマン＆ストゥービはゴルフウォッチに特化したブランドとして設立。ゴルフというスポーツに特化した時計作り、品質、ブランドのポリシーは、まさに「THE TIMEPIECE OF GOLF」、ゴルファーの証ともいうべきブランドである。<br>		ヤーマン＆ストゥービ（Jaermann & Stubi）製時計のムーブメントとゴルフカウンター機構は、すべてスイスの熟練した時計職人たちの手でつくられており、19世紀の伝統に則りながらも、最先端の技術と道具が駆使されています。どの時計もすべてハンドメイドで、時計産業で有名なジュラ山脈の渓谷でごく少数の生産となっています。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_jaermann.jpg"" width="""" alt=""Jaermann & Stubi（ヤーマン＆ストゥービ）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/jaermann/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_jaermann.jpg"" width=""100%"" alt=""Jaermann & Stubi（ヤーマン＆ストゥービ）"" /></div>","img_logo_jaermann.png",,,
"UH","UNION HORLOGERE SA（ユニオン・オルロジェール）","BRAND",12,,,,,,"<div>    <p>ユニオン・オルロジェールは1883年、スイス国内でも最も有名な製造業者や流通業者らの主導で設立されました。設立直後から独自のムーブメントを開発し、1890年にはすでに、ユニオン・オルロジェールの文字が刻まれた懐中時計が、多数生産されていました。1901年、この名称を会社名として、時計のブランド登録が行われました。ユニオン・オルロジェールは、当時、世界最大規模の懐中時計製造業者に成長しました。<br>男性用懐中時計だけではなく、女性用の時計も製造されていました。当時、腕時計はまだ考案されたばかりでしたが、ユニオン・オルロジェールは、この新規分野でも創造的な役割を果たしていました。 懐中時計のムーブメントは、どんどん複雑になっていき、ムーンフェイズ、クロノグラフ、カレンダー、ミニッツリピーター等が加えられるようになりました。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_uh.jpg"" width="""" alt=""UNION HORLOGERE SA（ユニオン・オルロジェール）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/uh/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_uh.jpg"" width=""100%"" alt=""UNION HORLOGERE SA（ユニオン・オルロジェール）"" /></div>","img_logo_uh.png",,,
"OJ","O.J.PERRIN(オージェイペラン)","BRAND",13,,,,,,"<div>    <p>1947年の創業以来、世代を超えてジュエリーのオートクチュール制作を手掛けるOJペラン。世界の高級ジュエリーの歴史的中心地であるパリのヴァンドーム広場にブティックを構え、世界のセレブレティを虜にしています。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_oj.jpg"" width="""" alt=""O.J.PERRIN(オージェイペラン)"" /></li>        <!--<li><a href=""https://hww.misuzu.com/watch/esprit/"" target=""_blank"">ブランド公式サイト</a></li>-->		    </ul></div><div>    <img src=""https://aladdinec.jp/client_info/MISUZU/view/userweb/images/brand/main_oj.jpg"" width=""100%"" alt=""O.J.PERRIN(オージェイペラン)"" /></div>","brand02.png",,,
"KENTEX","KENTEX（ケンテックス）","BRAND",14,,,,,,,"kentex.png",,,
"DEBETHUNE","De Bethune（ドゥベトゥーン）","BRAND",15,,,,,,,"debethune.png",,,
"CANDY_M","Candy Time By MADISON NEW YORK／MENS","CANDY",25,,,,,,,,,,
"CANDY_L","Candy Time By MADISON NEW YORK／LADIES","CANDY",26,,,,,,,,,,
"CATOREX_M","CATOREX／MENS","CATOREX",23,,,,,,,,,,
"CATOREX_L","CATOREX／LADIES","CATOREX",24,,,,,,,,,,
"DICI_M","DICI／MENS","DICI",19,,,,,,,,,,
"DICI_L","DICI／LADIES","DICI",20,,,,,,,,,,
"ESPRIT_M","ESPRIT／MENS","ESPRIT",29,,,,,,,,,,
"ESPRIT_L","ESPRIT／LADIES","ESPRIT",30,,,,,,,,,,
"HYSEK_M","HYSEK／MENS","HYSEK",31,,,,,,,,,,
"HYSEK_L","HYSEK／LADIES","HYSEK",32,,,,,,,,,,
"JAERMANN_M","JAERMANN ＆ STUBI／MENS","JAERMANN",33,,,,,,,,,,
"JAERMANN_L","JAERMANN ＆ STUBI／LADIES","JAERMANN",34,,,,,,,,,,
"JC_M","Just cavalli／MENS","JC",17,,,,,,,,,,
"JC_L","Just cavalli／LADIES","JC",18,,,,,,,,,,
"KENTEX_M","KENTEX（ケンテックス）／MENS","KENTEX",15,,,,,,,,,,
"KENTEX_L","KENTEX（ケンテックス）／LADIES","KENTEX",16,,,,,,,,,,
"MADISON_M","MADISON　NEWYORK／MENS","MADISON",27,,,,,,,,,,
"MADISON_L","MADISON　NEWYORK／LADIES","MADISON",28,,,,,,,,,,
"OJ_M","O.J.PERRIN／MENS","OJ",37,,,,,,,,,,
"OJ_L","O.J.PERRIN／LADIES","OJ",38,,,,,,,,,,
"RCBYFM_M","roberto cavalli by FRANCK MULLER／MENS","RCBYFM",15,,,,,,,,,,
"RCBYFM_L","roberto cavalli by FRANCK MULLER／LADIES","RCBYFM",16,,,,,,,,,,
"ROCHAS_M","ROCHAS／MENS","ROCHAS",21,,,,,,,,,,
"ROCHAS_L","ROCHAS／LADIES","ROCHAS",22,,,,,,,,,,
"UH_M","UNION HORLOGERE SA／MENS","UH",35,,,,,,,,,,
"UH_L","UNION HORLOGERE SA／LADIES","UH",36,,,,,,,,,,
